,tSNE1,tSNE2,dataset
4049,32.309402,51.270283,Netherlands
4050,53.90001,46.53005,Netherlands
4051,-38.12616,-30.553186,Netherlands
4052,-18.334988,8.406874,Netherlands
4053,-37.027225,6.0322776,Netherlands
4054,-18.072308,38.840008,Netherlands
4055,-0.22778584,27.80741,Netherlands
4056,14.3261175,67.776474,Netherlands
4057,6.035847,-13.73424,Netherlands
4058,-30.5068,-14.225773,Netherlands
4059,40.409607,-1.8410096,Netherlands
4060,-17.807766,12.268795,Netherlands
4061,0.29776785,30.087204,Netherlands
4062,-27.30821,28.292353,Netherlands
4063,-13.883095,-16.618076,Netherlands
4064,-36.295273,-14.500067,Netherlands
4065,-4.8653383,-5.874131,Netherlands
4066,11.450553,-47.60152,Netherlands
4067,-21.82227,-78.29706,Netherlands
4068,-3.3348424,26.404343,Netherlands
4069,0.017591901,62.68946,Netherlands
4070,6.5234165,-54.200943,Netherlands
4071,-18.996067,14.92066,Netherlands
4072,8.391608,-45.76946,Netherlands
4073,31.378105,50.907864,Netherlands
4074,-4.7149024,42.691044,Netherlands
4075,-3.2964182,71.250435,Netherlands
4076,-23.975056,-23.574688,Netherlands
4077,49.51188,47.668724,Netherlands
4078,50.17492,63.51024,Netherlands
4079,10.451022,68.73371,Netherlands
4080,56.23287,48.596046,Netherlands
4081,-20.379236,61.27661,Netherlands
4082,-3.0130987,-12.850093,Netherlands
4083,28.64304,51.95502,Netherlands
4084,-41.208954,39.97918,Netherlands
4085,5.7490244,26.84322,Netherlands
4086,-1.501921,43.534954,Netherlands
4087,31.210152,5.729029,Netherlands
4088,-7.4242935,5.566469,Netherlands
4089,57.53545,45.34274,Netherlands
4090,20.429409,78.19441,Netherlands
4091,-7.5452065,21.731071,Netherlands
4092,2.38633,-29.68151,Netherlands
4093,44.672333,49.823902,Netherlands
4094,15.72478,-5.619086,Netherlands
4095,-55.001842,-22.825224,Netherlands
4096,-19.21558,14.427058,Netherlands
4097,-41.93405,-21.972015,Netherlands
4098,27.643064,47.177895,Netherlands
4099,3.3362238,59.887077,Netherlands
4100,-38.784336,20.559677,Netherlands
4101,6.9593368,-55.06633,Netherlands
4102,35.6306,-16.017948,Netherlands
4103,-18.321934,15.788183,Netherlands
4104,44.969852,12.432336,Netherlands
4105,42.41916,-24.731773,Netherlands
4106,17.14273,-50.731102,Netherlands
4107,10.834116,54.134922,Netherlands
4108,-10.648889,-59.682133,Netherlands
4109,-5.4542217,-2.5183923,Netherlands
4110,13.865009,57.150974,Netherlands
4111,-10.909842,65.59927,Netherlands
4112,44.18517,-9.213435,Netherlands
4113,-21.97275,-71.314575,Netherlands
4114,40.147152,-1.4011525,Netherlands
4115,-13.357615,63.858414,Netherlands
4116,45.044594,-15.080426,Netherlands
4117,30.757177,56.989273,Netherlands
4118,10.746423,79.24122,Netherlands
4119,2.7181969,72.05302,Netherlands
4120,-12.532301,-16.392262,Netherlands
4121,7.636095,43.976257,Netherlands
4122,-15.653197,44.10859,Netherlands
4123,-8.201717,4.0284457,Netherlands
4124,25.545685,8.4316,Netherlands
4125,7.643618,-39.44836,Netherlands
4126,55.869186,49.650944,Netherlands
4127,-16.229103,63.443302,Netherlands
4128,3.783317,-12.788458,Netherlands
4129,26.387667,-58.03053,Netherlands
4130,57.366856,45.93107,Netherlands
4131,31.27284,-48.440716,Netherlands
4132,10.759395,69.94463,Netherlands
4133,5.6841226,66.038345,Netherlands
4134,-31.896734,-1.5830637,Netherlands
4135,-6.358327,59.115776,Netherlands
4136,-37.12305,-59.936356,Netherlands
4137,42.270203,-12.829132,Netherlands
4138,-18.942669,-25.60792,Netherlands
4139,-38.963863,12.748632,Netherlands
4140,-18.755663,-75.69581,Netherlands
4141,-7.1762547,57.738327,Netherlands
4142,9.765221,76.51945,Netherlands
4143,0.4051753,-32.312386,Netherlands
4144,-6.6246634,55.16378,Netherlands
4145,58.234013,48.17192,Netherlands
4146,34.64523,68.158806,Netherlands
4147,-52.198975,-22.71909,Netherlands
4148,39.873493,59.138676,Netherlands
4149,16.994776,79.15141,Netherlands
4150,-31.194885,-6.1106277,Netherlands
4151,-9.156287,-49.286636,Netherlands
4152,-7.5161433,38.890408,Netherlands
4153,-6.915044,37.901608,Netherlands
4154,31.972702,-33.721592,Netherlands
4155,-1.5499996,44.486893,Netherlands
4156,41.89842,-21.845535,Netherlands
4157,-38.11825,-29.98452,Netherlands
4158,-19.439972,-48.417656,Netherlands
4159,-43.31074,-6.0709352,Netherlands
4160,-8.141731,76.732254,Netherlands
4161,5.087291,61.3806,Netherlands
4162,-1.134186,53.629574,Netherlands
4163,-37.18987,36.14962,Netherlands
4164,30.856373,54.600864,Netherlands
4165,16.130722,12.134587,Netherlands
4166,29.505863,52.422573,Netherlands
4167,-4.033642,32.363586,Netherlands
4168,-48.08348,-8.587675,Netherlands
4169,-31.577072,-61.151787,Netherlands
4170,1.6857773,16.575352,Netherlands
4171,1.4463744,64.29174,Netherlands
4172,-4.9829125,-2.073784,Netherlands
4173,56.95878,52.01494,Netherlands
4174,58.731304,45.51413,Netherlands
4175,50.75439,47.700222,Netherlands
4176,-2.4561195,31.991995,Netherlands
4177,29.925304,-61.82392,Netherlands
4178,-14.771233,-36.395363,Netherlands
4179,-1.9766808,-72.933266,Netherlands
4180,33.87113,-0.747162,Netherlands
4181,56.507904,42.91544,Netherlands
4182,-43.91284,37.298496,Netherlands
4183,25.801437,26.058249,Netherlands
4184,1.2914337,61.992306,Netherlands
4185,32.207016,-13.015812,Netherlands
4186,27.835526,46.610844,Netherlands
4187,23.169178,43.62602,Netherlands
4188,-2.1203012,31.34448,Netherlands
4189,-59.744366,-17.435196,Netherlands
4190,8.371637,-8.323439,Netherlands
4191,-39.17149,34.761852,Netherlands
4192,36.47362,68.17386,Netherlands
4193,-57.91611,-13.166391,Netherlands
4194,6.087626,65.89072,Netherlands
4195,28.052435,-28.761002,Netherlands
4196,-50.73481,-14.534836,Netherlands
4197,-19.980526,60.840984,Netherlands
4198,-12.013384,60.93849,Netherlands
4199,58.67302,42.90127,Netherlands
4200,53.333496,53.89976,Netherlands
4201,-1.6808664,26.396671,Netherlands
4202,0.58695877,28.634584,Netherlands
4203,-6.774338,2.4372249,Netherlands
4204,-4.584531,-1.3564112,Netherlands
4205,45.573147,67.43843,Netherlands
4206,12.864391,75.14751,Netherlands
4207,44.947914,50.240784,Netherlands
4208,-2.1026068,37.968483,Netherlands
4209,29.384497,45.965553,Netherlands
4210,-52.330414,-14.588565,Netherlands
4211,-18.437857,-53.41789,Netherlands
4212,3.106029,-64.724815,Netherlands
4213,0.41704565,-74.8739,Netherlands
4214,-4.9634132,-7.969643,Netherlands
4215,58.5952,42.202286,Netherlands
4216,8.3085575,0.5728264,Netherlands
4217,-18.900156,10.455323,Netherlands
4218,3.2028048,45.70684,Netherlands
4219,50.350307,47.346172,Netherlands
4220,9.984533,-12.654059,Netherlands
4221,-7.846996,70.756195,Netherlands
4222,15.772096,55.88198,Netherlands
4223,2.372649,-61.302143,Netherlands
4224,2.571422,-19.786255,Netherlands
4225,-52.48965,12.776994,Netherlands
4226,-4.7819724,-72.15338,Netherlands
4227,-6.885823,-38.579212,Netherlands
4228,-6.82141,38.114437,Netherlands
4229,-54.150723,-17.931753,Netherlands
4230,-56.23024,-3.900654,Netherlands
4231,3.4511378,46.43254,Netherlands
4232,-35.09542,-4.5382843,Netherlands
4233,50.460617,18.657373,Netherlands
4234,-1.889126,53.56001,Netherlands
4235,-20.09314,43.729565,Netherlands
4236,25.30251,-28.4229,Netherlands
4237,-18.096632,14.761752,Netherlands
4238,24.430107,-57.051697,Netherlands
4239,15.873728,75.2253,Netherlands
4240,24.138025,26.64889,Netherlands
4241,2.2095988,-29.692457,Netherlands
4242,7.98417,-68.60092,Netherlands
4243,-19.175238,26.005585,Netherlands
4244,-51.63179,10.665335,Netherlands
4245,-25.628227,-52.18932,Netherlands
4246,39.73928,-21.371775,Netherlands
4247,-16.533596,-15.880619,Netherlands
4248,56.185795,48.30449,Netherlands
4249,-21.638493,-2.637647,Netherlands
4250,51.802593,46.547684,Netherlands
4251,2.240534,-33.272633,Netherlands
4252,-32.02151,-1.5722642,Netherlands
4253,-40.08126,-14.679135,Netherlands
4254,25.641685,29.245554,Netherlands
4255,20.32338,25.06687,Netherlands
4256,-2.5330393,33.997307,Netherlands
4257,-12.602271,64.03455,Netherlands
4258,44.81095,62.182957,Netherlands
4259,-39.68627,47.33928,Netherlands
4260,28.384819,-35.03974,Netherlands
4261,-7.4605584,-73.374466,Netherlands
4262,10.638973,-32.654602,Netherlands
4263,18.590769,-1.9707059,Netherlands
4264,-28.64531,51.517525,Netherlands
4265,31.90823,3.3568914,Netherlands
4266,6.8639374,-8.261875,Netherlands
4267,28.416048,52.18698,Netherlands
4268,60.068405,41.43847,Netherlands
4269,17.24352,71.37444,Netherlands
4270,-18.790821,44.36142,Netherlands
4271,9.068802,79.20206,Netherlands
4272,-4.117311,-74.711845,Netherlands
4273,50.128235,19.395428,Netherlands
4274,-26.44886,48.46104,Netherlands
4275,-24.83045,-37.96677,Netherlands
4276,-35.11866,-4.8634057,Netherlands
4277,41.142178,-20.608278,Netherlands
4278,9.423835,-47.50679,Netherlands
4279,-36.043118,-29.81027,Netherlands
4280,44.02462,-36.441555,Netherlands
4281,1.2033051,-59.529194,Netherlands
4282,-0.92492944,-22.226923,Netherlands
4283,20.02423,25.07571,Netherlands
4284,-26.828907,27.830128,Netherlands
4285,-18.762115,-64.900246,Netherlands
4286,-2.302836,42.01534,Netherlands
4287,34.919037,-61.71584,Netherlands
4288,-26.495771,38.84146,Netherlands
4289,17.205431,-52.670765,Netherlands
4290,37.004482,-45.51611,Netherlands
4291,-11.4787445,39.437374,Netherlands
4292,-0.97750384,-22.614182,Netherlands
4293,-0.89257324,-57.224094,Netherlands
4294,58.151024,44.666233,Netherlands
4295,-12.518729,41.831512,Netherlands
4296,-0.14382099,-24.557287,Netherlands
4297,-16.050007,-28.849346,Netherlands
4298,-7.146194,50.75317,Netherlands
4299,-12.688163,-30.163364,Netherlands
4300,-21.006739,-68.75488,Netherlands
4301,7.206071,-8.376711,Netherlands
4302,22.278471,-52.33408,Netherlands
4303,-14.072668,65.80638,Netherlands
4304,-26.295134,29.343721,Netherlands
4305,2.855828,-71.18969,Netherlands
4306,32.475506,65.69518,Netherlands
4307,27.002016,-28.356485,Netherlands
4308,-14.222015,-19.08391,Netherlands
4309,-11.290251,-63.09512,Netherlands
4310,15.289369,74.55817,Netherlands
4311,8.853043,-46.42455,Netherlands
4312,15.673467,69.500595,Netherlands
4313,-4.476279,-10.943923,Netherlands
4314,-26.536982,40.23825,Netherlands
